order_number,customer_id,product_id,order_date,units,sale_price,currency,order_mode,updated_at
2501,568,3,04/05/2025,10,68.07,USD,EDIT,2026-01-31 18:59:00
2502,825,4,03/29/2025,7,50.44,INR,EDIT,2026-01-31 18:59:00
2503,616,10,07/27/2025,6,82.61,USD,EDIT,2026-01-31 18:59:00
2504,606,10,12/05/2025,9,77.29,EUR,EDIT,2026-01-31 18:59:00
2505,550,2,06/30/2025,8,98.87,INR,EDIT,2026-01-31 18:59:00
2506,848,3,10/28/2025,2,41.32,USD,EDIT,2026-01-31 18:59:00
2507,810,8,11/08/2025,7,89.12,EUR,EDIT,2026-01-31 18:59:00
2508,761,2,09/10/2025,2,91.49,EUR,EDIT,2026-01-31 18:59:00
2509,918,8,09/05/2025,2,44.68,CAD,EDIT,2026-01-31 18:59:00
2510,883,10,01/07/2025,4,10.56,USD,EDIT,2026-01-31 18:59:00
2511,935,7,01/18/2025,3,13.73,INR,EDIT,2026-01-31 18:59:00
2512,603,9,09/04/2025,1,13.20,CAD,EDIT,2026-01-31 18:59:00
2513,857,6,01/13/2026,9,33.31,CAD,EDIT,2026-01-31 18:59:00
2514,853,9,05/20/2025,2,40.74,INR,EDIT,2026-01-31 18:59:00
2515,876,8,11/08/2025,6,20.98,CAD,EDIT,2026-01-31 18:59:00
2516,528,9,02/27/2025,6,3.45,CAD,EDIT,2026-01-31 18:59:00
2517,598,9,02/07/2025,10,71.40,EUR,EDIT,2026-01-31 18:59:00
2518,763,7,08/28/2025,10,23.04,INR,EDIT,2026-01-31 18:59:00
2519,616,7,08/04/2025,1,21.92,CAD,EDIT,2026-01-31 18:59:00
2520,904,9,02/13/2025,1,6.90,INR,EDIT,2026-01-31 18:59:00
2521,887,10,12/27/2025,8,4.72,USD,EDIT,2026-01-31 18:59:00
2522,974,7,01/14/2026,5,86.31,EUR,EDIT,2026-01-31 18:59:00
2523,855,8,11/19/2025,5,86.51,INR,EDIT,2026-01-31 18:59:00
